field_name,description
CreationDateTime,"Date and time at which the resource was created. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Status,"Specifies the status of resource in code form. For a list of values see `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
StatusUpdateDateTime,"Date and time at which the resource status was updated. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
CutOffDateTime,"Specified cut-off date and time for the payment consent. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
ExpectedExecutionDateTime,"Expected execution date and time for the payment resource. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
ExpectedSettlementDateTime,"Expected settlement date and time for the payment resource. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Charges,"Set of elements used to provide details of a charge for the payment initiation."
ExchangeRate,"The factor used for conversion of an amount from one currency to another. This reflects the price at which one currency was bought with another currency."
Initiation,"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single international payment."
InstructionIdentification,"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.
Usage: the instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction."
EndToEndIdentification,"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.
Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field."
LocalInstrument,"User community specific instrument.
Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level."
InstructionPriority,"Indicator of the urgency or order of importance that the instructing party would like the instructed party to apply to the processing of the instruction."
Purpose,"Specifies the underlying reason for the payment transaction.
Usage: Purpose is used by the end-to-end players in the payment chain to carry additional information. It can be used for reconciliation, tracking, reporting or regulatory purposes."
PurposeCode,"Specifies the underlying reason for the payment transaction, in a coded form."
ChargeBearer,"Specifies which party/parties will bear the charges associated with the processing of the payment transaction."
RequestedExecutionDateTime,"Date at which the initiating party requests the clearing agent to process the payment. 
Usage: This is the date on which the debtor's account is to be debited. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
InstructedAmount,"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.
Usage: This amount has to be transported unchanged through the transaction chain."
ExchangeRateInformation,"Provides details on the currency exchange rate and contract."
DebtorAccount,"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction."
Creditor,"Party to which an amount of money is due."
CreditorAgent,"Financial institution servicing an account for the creditor."
CreditorAccount,"Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction."
RemittanceInformation,"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system."
SCASupportData,"Supporting Data provided by TPP, when requesting SCA Exemption."
FileType,"Specifies the payment file type."
FileHash,"A base64 encoding of a SHA256 hash of the file to be uploaded."
FileReference,"Reference for the file."
NumberOfTransactions,"Number of individual transactions contained in the payment information group."
ControlSum,"Total of all individual amounts included in the group, irrespective of currencies."
Authorisation,"The authorisation type request from the TPP."
AuthorisationType,"Type of authorisation flow requested."
CompletionDateTime,"Date and time at which the requested authorisation flow must be completed. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Permission,"Specifies the Open Banking service request types. For a full list of values see `OBInternalPermissions2Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
ReadRefundAccount,"Specifies to share the refund account details with PISP"
Debtor,"Provides the details to identify the debtor account."
MultiAuthorisation,"The multiple authorisation flow response from the ASPSP."
DomesticVRPId,"Unique identification of the VRP."
DomesticVRPConsentId,"The unique ID of the VRP consent."
CallbackUrl,"Callback URL for the event notification."
EventTypes,"The list of event types to subscribe to."
EventSubscriptionId,"Unique identification of the event subscription."
AccountId,"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner."
Account,"Provides the details to identify an account."
Balance,"Set of elements used to define the balance details."
TransactionId,"Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable."
BookingDateTime,"Date and time when an entry is posted to an account on the account servicer's books."
Amount,"Amount of money in the cash transaction entry."
CreditDebitIndicator,"Indicates whether the transaction is a credit or a debit entry. 

For a full list of enumeration values refer to `OBCreditDebitCode_1` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
FundsAvailable,"Result of a funds availability check."
FundsConfirmationId,"Unique identification for the funds confirmation resource."
Reference,"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.
Usage: If available, this reference is sent by the creditor to the debtor.
Usage: This reference should be included in structured remittance information, case unstructured remittance information is not used."
InstructedAmount.Amount,"The amount of the instructed payment."
InstructedAmount.Currency,"The currency of the instructed payment."
DebtorAccount.SchemeName,"Name of the identification scheme, in a coded form as published in an external list."
DebtorAccount.Identification,"Identification assigned by an institution to identify an account."
DebtorAccount.Name,"The name of the account."
CreditorAccount.SchemeName,"Name of the identification scheme, in a coded form as published in an external list."
CreditorAccount.Identification,"Identification assigned by an institution to identify an account."
CreditorAccount.Name,"The name of the account."
RemittanceInformation.Unstructured,"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system."
RemittanceInformation.Reference,"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction."
Risk.PaymentContextCode,"Specifies the payment context"
Risk.MerchantCategoryCode,"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction."
Risk.MerchantCustomerIdentification,"The unique customer identifier of the PSU with the merchant."
Risk.DeliveryAddress,"Information that locates and identifies a specific address, as defined by postal services or in free format text."
VRPType,"The type of VRP."
ValidFromDateTime,"Start date and time of the VRP."
ValidToDateTime,"End date and time of the VRP."
MaximumIndividualAmount,"The maximum amount of a single VRP payment."
iss,"Issuer of the signed event notification."
iat,"Time at which the signed event notification was issued."
jti,"Unique identifier for the signed event notification."
sub,"Subject of the signed event notification."
aud,"Audience of the signed event notification."
txn,"Transaction identifier for the signed event notification."
toe,"Time of event for the signed event notification."
events,"The events that have occurred."
Account.AccountId,"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner."
Balance.Amount.Amount,"The amount of the balance."
Balance.Amount.Currency,"The currency of the balance."
Balance.CreditDebitIndicator,"Indicates whether the balance is a credit or a debit."
Balance.Type,"Balance type, in a coded form."
Balance.DateTime,"Indicates the date (and time) of the balance."
Transaction.TransactionId,"Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable."
Transaction.Amount.Amount,"The amount of the transaction."
Transaction.Amount.Currency,"The currency of the transaction."
Transaction.CreditDebitIndicator,"Indicates whether the transaction is a credit or a debit."
Transaction.Status,"Status of a transaction."
Transaction.BookingDateTime,"Date and time when an entry is posted to an account on the account servicer's books."
Transaction.ValueDateTime,"Date and time at which assets become available to the account owner in case of a credit entry, or cease to be available to the account owner in case of a debit entry."
Transaction.TransactionInformation,"Further details of the transaction."
FundsConfirmation.FundsAvailable,"Result of a funds availability check."
FundsConfirmation.FundsConfirmationId,"Unique identification for the funds confirmation resource."
urn,"URN identifying the event."
url:,"URL of the resource that was the subject of the event."
payload-version,"The version of the payload."
