field_name,description
TransactionId,Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable.
TransactionReference,
CreditDebitIndicator,Indicates whether a transaction or balance is a credit or a debit.
TransactionMutability,
BookingDateTime,Date and time when an entry is posted to an account on the account servicer's books.
ValueDateTime,
TransactionInformation,
ChargeAmount,
CurrencyExchange,
BankTransactionCode,
ProprietaryBankTransactionCode,
ExtendedProprietaryBankTransactionCodes,
Balance,Set of elements used to define the balance details.
MerchantDetails,
DebtorAgent,
DebtorAccount,Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.
CardInstrument,
PaymentPurposeCode,
UltimateCreditor,
UltimateDebtor,
CardSchemeName,"Name of the card scheme. <br />
For a full list of enumeration values refer to `OBInternalCardSchemeType1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
AuthorisationType,"The card authorisation type. <br />
For a full list of enumeration values refer to `OBInternalCardAuthorisationType1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Name,Name of the cardholder using the card instrument.
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
Amount,Amount of money of the cash balance after a transaction entry is applied to the account..
Amount.Amount,
Amount.Currency,
FeeCategory,
Code,"Standard code value identifying a type or status, often from an Open Banking approved code list."
Issuer,The name or identifier of the organisation issuing the financial instrument or instruction.
Description,Description of the code and its usage on the ASPSP channel
id,
Code,"Standard code value identifying a type or status, often from an Open Banking approved code list."
Message,Deprecated <br>Brief Error message
Data.ConsentId,Unique identification as assigned by the ASPSP to uniquely identify the funds confirmation consent resource.
Data.Reference,"Unique reference, as assigned by the CBPII, to unambiguously refer to the request related to the payment transaction."
Data.InstructedAmount,Amount of money to be confirmed as available funds in the debtor account. Contains an Amount and a Currency.
Data.InstructedAmount.Amount,A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.
Data.InstructedAmount.Currency,"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds""."
Data.ExpirationDateTime,"Specified date and time the funds confirmation authorisation will expire.
 If this is not populated, the authorisation will be open ended. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.DebtorAccount,Unambiguous identification of the account of the debtor to which a confirmation of funds consent will be applied.
Data.DebtorAccount.SchemeName,"Name of the identification scheme, in a coded form as published in an external list. For a full list of values see `OBInternalAccountIdentification4Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Data.DebtorAccount.Identification,Identification assigned by an institution to identify an account. This identification is known by the account owner.
Data.DebtorAccount.Name,"Name of the account, as assigned by the account servicing institution.
Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account."
Data.DebtorAccount.SecondaryIdentification,"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination)."
Data.DebtorAccount.Proxy,
Data.ConsentId,Unique identification as assigned to identify the funds confirmation consent resource.
Data.CreationDateTime,"Date and time at which the resource was created. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.Status,Specifies the status of consent resource in code form. For a full list of values refer to `OBInternalConsentStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.StatusReason,
Data.StatusUpdateDateTime,"Date and time at which the resource status was updated. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.ExpirationDateTime,"Specified date and time the funds confirmation authorisation will expire.
If this is not populated, the authorisation will be open ended. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.DebtorAccount.SchemeName,"Name of the identification scheme, in a coded form as published in an external list. For a full list of values refer to `OBInternalAccountIdentification4Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Data.FundsConfirmationId,Unique identification as assigned by the ASPSP to uniquely identify the funds confirmation resource.
Data.FundsAvailable,Flag to indicate the result of a confirmation of funds check.
StatusReasonCode,"Specifies the status reason in a code form. 
 For a full list of values see `OBExternalStatusReason1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Path,"Optional reference to the JSON Path of the field when status reason refers to an object/field, e.g., Data.DebtorAccount.SchemeName"
urn:uk:org:openbanking:events:resource-update,
version,Resource version.
link,Resource link.
iss,Issuer.
iat,Issued At. 
jti,JWT ID.
aud,Audience.
sub,Subject
txn,Transaction Identifier.
toe,Time of Event.
events,The events that have occurred.
subject,
subject_type,Subject type for the updated resource. 
http://openbanking.org.uk/rid,Resource Id for the updated resource.
http://openbanking.org.uk/rty,Resource Type for the updated resource.
http://openbanking.org.uk/rlk,Resource links to other available versions of the resource.
Message,"A description of the error that occurred. e.g., 'A mandatory field isn't supplied' or 'RequestedExecutionDateTime must be in future'
OBIE doesn't standardise this field"
Data.CallbackUrl,"Callback URL for a TPP hosted service. Will be used by ASPSPs, in conjunction with the resource name, to construct a URL to send event notifications to."
Data.Version,
Data.EventTypes,
Data.EventSubscriptionId,Unique identification as assigned by the ASPSP to uniquely identify the callback URL resource.
Data.EventSubscription,
maxEvents,Maximum number of events to be returned. A value of zero indicates the ASPSP should not return events even if available
returnImmediately,Indicates whether an ASPSP should return a response immediately or provide a long poll
ack,
setErrs,An object that encapsulates all negative acknowledgements transmitted by the TPP
moreAvailable,A JSON boolean value that indicates if more unacknowledged event notifications are available to be returned.
sets,"A JSON object that contains zero or more nested JSON attributes. If there are no outstanding event notifications to be transmitted, the JSON object SHALL be empty."
CountPerPeriod,Number of instructions to be created and processed during the specified period .Specifies a frequency in terms of a count per period within a specified frequency type. Note: should not be used alongside `PointInTime`
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
Name,"Name of the account, as assigned by the account servicing institution.  Usage The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account."
SecondaryIdentification,"Secondary identification of the account, as assigned by the account servicing institution. This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination)."
SchemeName,"Name of the identification scheme in use, such as 'UK.OBIE.SortCodeAccountNumber'."
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
Name,"^ Name of the account, as assigned by the account servicing institution.  Usage The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account."
SecondaryIdentification,"^ This is secondary identification of the account, as assigned by the account servicing institution.  This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination) | Max34Text"
MandateIdentification,
FirstPaymentDateTime,
FinalPaymentDateTime,
Reason,Reason for the direct debit mandate to allow the user to distinguish between different mandates for the same creditor.
StatusReasonCode,"Specifies the status reason in a code form 
 For more information and enum values see `OBExternalStatusReason1Code [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Department,
SubDepartment,
CountrySubDivision,
Country,
Issuer,The name or identifier of the organisation issuing the financial instrument or instruction.
Name,Name of the entity requiring the regulatory reporting information.
CountryCode,
DebitCreditReportingIndicator,"Identifies whether the regulatory reporting information applies to the debit side, to the credit side or to both debit and credit sides of the transaction.  For a full list of values reefer to `OBExternalRegulatoryReportingType1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Authority,
Details,
PaymentContextCode,"Specifies the payment context, `OBInternalPaymentContext1Code`
"
MerchantCustomerIdentification,The unique customer identifier of the PSU with the merchant.
ContractPresentIndicator,Indicates if Payee has a contractual relationship with the PISP.
BeneficiaryPrepopulatedIndicator,Indicates if PISP has immutably prepopulated payment details in for the PSU.
BeneficiaryAccountType,
DeliveryAddress,
RequestedSCAExemptionType,This field allows a PISP to request specific SCA Exemption for a Payment Initiation. For a full list of values reefer to `OBInternalSCAExemptionType1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
AppliedAuthenticationApproach,"Specifies a character string with a maximum length of 40 characters.
Usage: This field indicates whether the PSU was subject to SCA performed by the TPP
For a full list of values refer to `OBInternalAppliedAuthenticationApproach1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
ReferencePaymentOrderId,"If the payment is recurring, then this field is populated with the transaction identifier of the previous payment occurrence so that the ASPSP can verify that the PISP, amount and the payee are the same as the previous occurrence. The value here refers to the payment id e.g. DomesticPaymentId  "
StatusReasonCode,"Specifies the status reason in a code form. 
For a full list of values refer to `OBExternalStatusReason1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Path,Path is optional but relevant when the status reason refers to an object/field and hence conditional to provide JSON path.
Type,Specifies the type of the information supplied in the regulatory reporting details
Date,
Information,Additional details that cater for specific domestic regulatory requirements. 
Data.ConsentId,OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.
Data.Initiation,The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single domestic payment.
Data.Initiation.InstructionIdentification,"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.
Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction."
Data.Initiation.EndToEndIdentification,"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.
Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field."
Data.Initiation.LocalInstrument,
Data.Initiation.InstructedAmount,"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.
Usage: This amount has to be transported unchanged through the transaction chain."
Data.Initiation.InstructedAmount.Amount,
Data.Initiation.InstructedAmount.Currency,
Data.Initiation.DebtorAccount,Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.
Data.Initiation.DebtorAccount.SchemeName,
Data.Initiation.DebtorAccount.Identification,
Data.Initiation.DebtorAccount.Name,"The account name is the name or names of the account owner(s) represented at an account level, as displayed by the ASPSP's online channels.
Note, the account name is not the product name or the nickname of the account."
Data.Initiation.DebtorAccount.SecondaryIdentification,
Data.Initiation.DebtorAccount.Proxy,
Data.Initiation.CreditorAgent,Financial institution servicing an account for the creditor.
Data.Initiation.CreditorAgent.SchemeName,
Data.Initiation.CreditorAgent.Identification,
Data.Initiation.CreditorAgent.Name,
Data.Initiation.CreditorAgent.LEI,
Data.Initiation.CreditorAgent.PostalAddress,
Data.Initiation.CreditorAccount,Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction.
Data.Initiation.CreditorAccount.SchemeName,
Data.Initiation.CreditorAccount.Identification,
Data.Initiation.CreditorAccount.Name,"The account name is the name or names of the account owner(s) represented at an account level.
Note, the account name is not the product name or the nickname of the account.
OB: ASPSPs may carry out name validation for Confirmation of Payee, but it is not mandatory."
Data.Initiation.CreditorAccount.SecondaryIdentification,
Data.Initiation.CreditorAccount.Proxy,
Data.Initiation.CreditorPostalAddress,
Data.Initiation.UltimateCreditor,
Data.Initiation.UltimateDebtor,
Data.Initiation.RegulatoryReporting,
Data.Initiation.RemittanceInformation,
Data.Initiation.SupplementaryData,
Data.ReadRefundAccount,Specifies to share the refund account details with PISP. For a full set of values refer to `OBInternalReadRefundAccount1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.Authorisation,The authorisation type request from the TPP.
Data.Authorisation.AuthorisationType,Type of authorisation flow requested. For a full set of values refer to `OBInternalAuthorisation1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.Authorisation.CompletionDateTime,"Date and time at which the requested authorisation flow must be completed. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.SCASupportData,
Data.ReadRefundAccount,Specifies to share the refund account details with PISP. For a full list of values refer to `OBInternalReadRefundAccount1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.CutOffDateTime,"Specified cut-off date and time for the payment consent. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.ExpectedExecutionDateTime,"Expected execution date and time for the payment resource. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.ExpectedSettlementDateTime,"Expected settlement date and time for the payment resource. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.Charges,
Data.Authorisation.AuthorisationType,Type of authorisation flow requested. For a full list of values refer to `OBInternalAuthorisation1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.Debtor,
Data.DomesticPaymentId,OB: Unique identification as assigned by the ASPSP to uniquely identify the domestic payment resource.
Data.CreationDateTime,"Date and time at which the message was created. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.Status,Specifies the status of the payment information group. For a full list of values refer to `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.Refund,Unambiguous identification of the refund account to which a refund will be made as a result of the transaction.
Data.Refund.Account,Provides the details to identify an account.
Data.Refund.Account.SchemeName,
Data.Refund.Account.Identification,
Data.Refund.Account.Name,"Name of the account, as assigned by the account servicing institution.
Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.
OB: ASPSPs may carry out name validation for Confirmation of Payee, but it is not mandatory."
Data.Refund.Account.SecondaryIdentification,
Data.MultiAuthorisation,The multiple authorisation flow response from the ASPSP.
Data.MultiAuthorisation.Status,Specifies the status of the authorisation flow in code form. For a full list of values refer to `OBInternalStatus2Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.MultiAuthorisation.NumberRequired,Number of authorisations required for payment order (total required at the start of the multi authorisation journey).
Data.MultiAuthorisation.NumberReceived,Number of authorisations received.
Data.MultiAuthorisation.LastUpdateDateTime,"Last date and time at the authorisation flow was updated. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.MultiAuthorisation.ExpirationDateTime,"Date and time at which the requested authorisation flow must be completed. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.Initiation,The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single scheduled domestic payment.
Data.Initiation.RequestedExecutionDateTime,"Date at which the initiating party requests the clearing agent to process the payment. 
Usage: This is the date on which the debtor's account is to be debited. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.Permission,Specifies the Open Banking service request types. For a full list of values see `OBInternalPermissions2Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.ReadRefundAccount,Specifies to share the refund account details with PISP. For a full list of values see `OBInternalReadRefundAccount1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.Status,Specifies the status of consent resource in code form. For a full list of values see `OBInternalConsentStatus1Code` in *ISO_External_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.StatusUpdateDateTime,"Date and time at which the consent resource status was updated. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.DomesticScheduledPaymentId,OB: Unique identification as assigned by the ASPSP to uniquely identify the domestic schedule payment resource.
Data.Status,Specifies the status of the payment order resource. For a full list of values see `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.MultiAuthorisation.Status,Specifies the status of the authorisation flow in code form.
Data.Initiation,The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a domestic standing order.
Data.Initiation.NumberOfPayments,
Data.Initiation.FirstPaymentAmount,The amount of the first Standing Order
Data.Initiation.FirstPaymentAmount.Amount,
Data.Initiation.FirstPaymentAmount.Currency,
Data.Initiation.RecurringPaymentAmount,The amount of the recurring Standing Order
Data.Initiation.RecurringPaymentAmount.Amount,
Data.Initiation.RecurringPaymentAmount.Currency,
Data.Initiation.FinalPaymentAmount,The amount of the final Standing Order
Data.Initiation.FinalPaymentAmount.Amount,
Data.Initiation.FinalPaymentAmount.Currency,
Data.Initiation.DebtorAccount,Provides the details to identify the debtor account.
